bewin,mode,be_bytes,goodput_gbps,tt_lat_max,jitter,preempts,errors
3000,0,509854,3.3990,4231,3803,0,0
3000,1,701833,4.6789,2234,1806,177,0
5000,0,990721,4.9536,6234,5806,0,0
5000,1,1176282,5.8814,4231,3803,173,0
7000,0,1460036,5.8401,429,1,0,0
7000,1,1649754,6.5990,429,1,174,0
10000,0,2171948,6.6829,9229,9005,0,0
10000,1,2359349,7.2595,9229,9005,174,0
20000,0,4545063,7.9045,9235,9011,0,0
20000,1,4730222,8.2265,9235,9011,177,0
50000,0,11645268,8.7889,9229,9005,0,0
50000,1,11836999,8.9336,9229,9005,170,0
